Sent1,Sent2,SimScore
अभिनेताओं ने बैंकर से संपर्क किया।,The actors contacted the banker who the judges recommended .,0.77
"केबल स्पोर्ट्स नेटवर्क ईएसपीएन द्वारा नियोजित अंतिम दौर के राष्ट्रीय कवरेज के साथ, गुरुवार को दबाव बढ़ सकता है।","The pressure will intensify today, with national coverage of the final round planned by ESPN and words that are even more difficult.",0.64
सीनेटर ने डॉक्टरों का परिचय कराया और वकील सो गए।,The lawyers slept .,0.62
कलाकार ने सीनेटरों को प्रस्तुत किया।,After the artist presented the senators mentioned the professors .,0.23
वकीलों ने सीनेटर की प्रशंसा की।,The lawyers next to the presidents admired the senator .,0.79
कलाकारों ने वैज्ञानिकों का समर्थन किया।,"Unless the lawyers encouraged the actor , the artists supported the scientists .",0.42
एक दौड़ का घोड़ा बिना सवार के सरपट दौड़ता है।,A horse galloping while wearing the number 4.,0.5599999999999999
इस गर्मी में ब्रिटेन में संगीत समारोहों में वाईफाई पॉटीज का अनावरण किया जाना था।,The world's first portal potty was soon to be rolled out at summer festivals in Great Britain.,0.8
"एथलीटों ने प्रबंधक की प्रशंसा की, और डॉक्टर ने न्यायाधीश का उल्लेख किया।",The athletes admired the manager .,0.62
छात्रों को उम्मीद थी कि डॉक्टरों ने पर्यटक को पहचान लिया।,The doctors recognized the tourist .,0.43
"जिन राष्ट्रपतियों ने अभिनेताओं को धन्यवाद दिया, उन्होंने वकीलों को पहचान लिया।",The presidents recognized the lawyers .,0.79
लाल बनियान में एक व्यक्ति दूसरे व्यक्ति पर नीले आइस स्केट्स को छू रहा है।,A lady fastens someone's ice skates in the snow.,0.44
इटली में बस दुर्घटना में 37 लोगों की मौत,12 killed in bus accident in Pakistan,0.24
प्राध्यापकों ने कलाकारों की प्रशंसा की।,"Because the bankers contacted the secretaries , the professors admired the artists .",0.78
न्यायिक आदेश ने राघद पर आतंकवाद के वित्तपोषण का आरोप लगाया।,the court accused raghad saddam hussein of funding terrorism.,0.8400000000000001
एक पनडुब्बी पानी के बीच से गुजर रही है।,A baby is falling asleep.,0.0
ऑस्ट्रेलियाई पीएम का कहना है कि 'बहुत आश्वस्त' संकेत ब्लैक बॉक्स से हैं,Australian PM confident sounds are from Flight 370,0.8
बोस्टन बॉम्बर से पूछताछ का इंतजार कर रहे अमेरिकी जांचकर्ता,Police converge on street in search for Boston bomb suspect,0.36
अभिनेता ने डॉक्टर की सिफारिश की।,"If the actor recommended the doctor , the professor called the lawyers .",0.45
जज ओके ने कैलिफोर्निया के कैदियों को जबर्दस्ती खिलाया,U.S. judge approves force-feeding Californian inmates on hunger strik,0.92
"सचिव ने सीनेटर का परिचय कराया, और बैंकर ने पर्यटकों पर विश्वास किया।",The banker believed the tourists .,0.62
दो कुत्ते गंदगी में खेल रहे हैं।,A dancer posing for the camera in a red and white dress.,0.0
प्रबंधक पहुंचे।,The scientist thought that the managers arrived .,0.43
ग्लोवर ने एक संवाददाता सम्मेलन में बात की जिसमें पीड़ितों के लगभग 20 रिश्तेदार शामिल थे।,About 20 family members of the victims were invited to the news conference.,0.64
राष्ट्रपति को याद आया कि सचिवों ने न्यायाधीश की मदद की थी।,The secretaries helped the judge .,0.55
"वकील चिल्लाए, और अभिनेता ने न्यायाधीशों को पहचान लिया।",The actor recognized the judges .,0.62
लेखक के बगल के एथलीट चिल्लाए।,The author shouted .,0.26
प्रबंधकों ने सचिवों की सिफारिश की।,The managers recommended the secretaries that performed .,0.77
एक महिला एक डेस्क पर बैठी है।,A woman is riding a donkey.,0.08
दक्षिण कोरिया ने सात नए MERS मामलों की रिपोर्ट दी,South Korean woman in contact with MERS patient dies,0.2
"""यह सौदा दोनों कंपनियों के लिए समझ में आता है,"" हल्ला ने एक तैयार बयान में कहा।","Brian Halla, CEO of NatSemi, claimed the deal made sense for both companies.",0.64
एक महिला आग से नाच रही है।,A man ties a noose.,0.0
न्यायाधीश द्वारा प्रोफेसर ने छात्र को सलाह दी।,The judge advised the student .,0.26
हांगकांग विरोध का अंत?,UK 'concern' over Hong Kong protests,0.4
डॉक्टर को उम्मीद थी कि एथलीट बैंकर से दूर रहेगा।,The athlete avoided the banker .,0.43
मैनेजर को धन्यवाद देने वाले वकील सो गए।,The manager slept .,0.31
सचिव ने प्रदर्शन किया।,The professors remembered that the secretary performed .,0.55
छात्र ने अध्यक्ष को सलाह दी।,The bankers advised the president and the student .,0.29
अभिनेता ने सचिवों का समर्थन किया।,The secretaries were supported by the actor .,1.0
डॉक्टरों ने कलाकारों से परहेज किया।,The artists were avoided by the doctors .,1.0
राष्ट्रपतियों ने पर्यटकों की मदद की।,The presidents helped the tourists and the judge .,0.73
प्रोफेसरों ने सीनेटर का परिचय दिया।,"The tourist saw the artist , or the professors introduced the senator .",0.5
ओबामा ने दक्षिण चीन सागर पर फिलीपींस का समर्थन किया,Obama says clear rules needed to calm South China Sea,0.48
डॉक्टरों को सलाह देने वाले अध्यक्ष ने जज को धन्यवाद दिया।,The doctors thanked the judge .,0.31
बैंकर ने उन छात्रों का परिचय कराया जिनकी अभिनेताओं ने मदद की।,The actors helped the students .,0.65
एक पुरुष और एक महिला चुंबन कर रहे हैं।,A man and woman kiss.,1.0
वैज्ञानिक ने नृत्य किया।,"Since the scientist danced , the tourists avoided the artist .",0.61
समुद्र तट पर दो कुत्ते।,A dog walks on the beach.,0.48
सचिव ने अध्यक्ष का परिचय कराया।,The secretary introduced the students and the president .,0.68
न्यायाधीश को बैंकरों द्वारा मान्यता दी गई थी।,The bankers recognized the judge .,1.0
बर्फीली शाखा पर बैठा एक छोटा पक्षी।,A yellow bird perched on a branch.,0.64
जॉनी मैथिस द्वारा टॉयलैंड हम सभी कई अजूबों से भरे बर्तन हैं।,Eye of the Tiger We are all vessels filled with many wonders.,0.64
सचिव ने वैज्ञानिक का समर्थन किया।,The scientist supported the banker who called the secretary .,0.29
एथलीटों ने बैंकर को सलाह दी।,"In case the athletes advised the banker , the lawyer slept .",0.45
पानी पर नौकायन नाव।,Sailboat sailing on a cloudy day.,0.6799999999999999
म्यांमार के सैन्य शासकों ने नशीली दवाओं के दुरुपयोग और अवैध तस्करी के खिलाफ अंतर्राष्ट्रीय दिवस को चिह्नित करने के लिए लगभग 250 मिलियन डॉलर की अवैध दवाओं को जला दिया।,myanmar's military rulers incinerated the drugs to mark the international day against drug abuse and illicit trafficking.,0.75
वकील से परहेज करने वाले डॉक्टरों ने एथलीटों को पहचान लिया।,The doctors recognized the athletes .,0.79
राष्ट्रपति ने कलाकार का समर्थन किया।,The artist supported the president .,0.29
आदमी सॉसेज मसाला कर रहा है।,The man added seasoning to water in a bowl.,0.48
"रोजर्स, वीडियोट्रॉन नेटवर्क-शेयरिंग डील के साथ पहुंच बढ़ाते हैं","Rogers, Videotron reach network-sharing, spectrum deal",0.8400000000000001
एक आदमी स्पीकर के पुर्जों को जोड़ रहा है।,A man is playing the guitar.,0.2
सचिव ने डॉक्टरों और बैंकर का जिक्र किया।,The secretary mentioned the doctors .,0.73
प्रबंधकों ने एथलीटों से परहेज किया।,The athletes next to the managers avoided the judge .,0.29
वकील ने प्रदर्शन किया।,The bankers claimed that the lawyer performed .,0.43
पर्यटक ने वैज्ञानिक के सामने छात्रों से परहेज किया।,The students avoided the scientist .,0.29
छात्र और जज सो गए।,The judges slept .,0.73
बैंकर ने वकीलों पर विश्वास किया।,The professors that stopped the banker believed the lawyers .,0.31
अभिनेताओं ने पर्यटकों को प्रोत्साहित किया।,The student who helped the tourist encouraged the actors .,0.29
"जब तक वैज्ञानिकों ने इंतजार नहीं किया, राष्ट्रपति ने प्रोफेसरों को धन्यवाद दिया।",The scientists waited .,0.45
"एक प्रवक्ता ने कहा: ""नवंबर के बाद से, हमने पुलिस के साथ पूरा सहयोग किया है।","It added it had ""co-operated fully"" with police since November.",0.85
"तो, अभी के लिए, मैं आपसे यह प्रश्न पूछते हुए छोड़ रहा हूँ: ""मार्क्स कहाँ हैं""?","I am moving on to ask you the question: "" Where ' s the beef "" ?",0.08
"इससे पहले कि लेखक प्रतीक्षा करता, अभिनेताओं ने वकीलों को रोक दिया।",The author waited .,0.61
"यूरोप में दोपहर के कारोबार में फ्रांस का सीएसी-40 और ब्रिटेन का एफटीएसई 100 प्रत्येक में 0.7 फीसदी की तेजी आई, जबकि जर्मनी का डीएएक्स इंडेक्स 0.6 फीसदी चढ़ा।","In Europe, France's CAC-40 rose 1.3 percent, Britain's FTSE 100 declined 0.2 percent and Germany's DAX index gained 0.6 percent.",0.4
30 से अधिक हड़ताली खनिक मारे गए,More than 30 striking miners killed in South Africa,0.76
संयुक्त राज्य अमेरिका और अन्य नाटो सदस्यों ने संशोधित संधि की पुष्टि करने से इनकार कर दिया है।,the united states and other nato members have refused to do ratify the updates cfe.,0.64
अभिनेताओं को धन्यवाद देने वाले बैंकरों ने न्यायाधीशों की मदद की।,The bankers thanked the actors .,0.65
एक ट्रेन एक रेलवे स्टेशन पर है।,a train in a station.,1.0
वैज्ञानिक भागा।,"Before the scientist ran , the author saw the presidents .",0.61
अभिनेताओं ने वकील की प्रशंसा की।,The actors were admired by the lawyer .,0.3
चीन का अशांत शिनजियांग और हिंसा की चपेट में है,China's online population rises to 618 mln,0.08
एक कुत्ता मुंह में लाठी लिए पानी से निकलता है।,A dog runs toward the camera with a stick in its mouth.,0.48
भारत में इमारत ढहने से दर्जनों के दबे होने की आशंका,Rescuers race to find 20 still trapped in India building collapse,0.6
छात्रों ने क्षेत्र का जायजा लिया।,The students explored .,0.66
मैनेजर ने बैंकर का परिचय कराया।,The manager who introduced the banker advised the students .,0.65
भारत में इमारत गिरने से मजदूरों की मौत,76 killed in Bangladesh building collapse,0.6
एक आदमी और औरत बात कर रहे हैं।,A man and woman is eating.,0.32
पार्क विरोध के अंत के बावजूद तुर्की में अशांति जारी है,"Turkish PM Erdogan says ""duty"" to order crackdown on Istanbul park protest",0.2
नाराज लेखकों ने सचिव को रोका।,Authors stopped the secretary .,0.78
शायद बैंकरों ने चिल्लाया।,The bankers shouted .,0.53
संगठन ने कहा कि दक्षिणी शहर बसरा में कुल 17 मामलों की पुष्टि हुई है।,A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,0.72
अभिनेताओं ने सीनेटर को धन्यवाद दिया।,Probably the actors thanked the senator .,0.53
होस्नी मुबारक की दोबारा सुनवाई 8 जून तक के लिए स्थगित कर दी गई,Mubarak retrial adjourned to June,0.8
अभिनेता ने डॉक्टर और वकीलों का परिचय कराया।,The doctor introduced the lawyers .,0.29
पुरुष फुटबॉल खेल रहे हैं।,A man is riding a motorcycle.,0.0
क्योंकि एथलीटों ने बैंकर ने अभिनेताओं का परिचय कराया।,The athletes presented the banker .,0.23
ईरानी राष्ट्रपति ने की परमाणु समझौते की तारीफ,Iran arrests several spies near nuclear plant,0.2
सैंटोस ने कहा कि कोलम्बियाई पुलिस को मारे गए विद्रोही नेता राउल रेयेस के साथ खोजे गए 2 कंप्यूटरों में सबूत मिले।,francisco santos stated that colombian police found the evidence on two computers discovered with raul reyes.,0.8
"दलाई लामा के साथ फ्रांसीसी राष्ट्रपति सरकोजी की मुलाकात के बाद साइबर हमला हुआ, जिससे चीनी सरकार नाराज हो गई।",the cyber attack occurred after french president nicolas sarkozy's meeting with exiled tibetan spiritual leader the dalai lama.,0.76
मैनेजर इंतजार करता रहा।,"The doctors performed , or the manager waited .",0.5
दो एशियाई पुरुष और एशियाई महिला काली मसाज कुर्सियों पर बैठे हैं।,Two Asian men and a woman are relaxing in massage chairs.,0.92
एथलीटों ने वकीलों पर विश्वास किया।,The athletes by the managers believed the lawyers .,0.79
सचिवों ने सीनेटरों की मदद की।,The secretaries and the senators helped the scientist .,0.29
वकील ने बैंकर के बगल में सचिव का उल्लेख किया।,The lawyer mentioned the secretary .,0.79
अध्यक्षों ने प्रबंधकों से परहेज किया।,The presidents were avoided by the managers .,0.3
कलाकारों ने न्यायाधीशों की सिफारिश की।,The artists recommended the doctor and the judges .,0.68
डॉक्टर को उम्मीद थी कि सचिवों ने बैंकर पर विश्वास किया है।,The secretaries believed the banker .,0.43
"जब पुलिस ने चारों को घर से निकाला, तो उनका कुल वजन 136 पाउंड था।",Each boy weighed less than 50 pounds when they were removed from the home Oct. 10.,0.6
एक महिला कड़ाही में तेल डाल रही है।,A man is pouring oil into a pan.,0.6
जज ने डॉक्टर को बुलाया।,The doctor called the judge .,0.29
"एन.आर. मोहंती ने कहा कि रक्षा अनुसंधान और विकास संगठन, हिंदुस्तान एयरोनॉटिक्स लिमिटेड और भारतीय वायु सेना के बीच मिग -27 मीटर विमानों के भारत के पुराने बेड़े को अपग्रेड करने के लिए एक समझौते पर हस्ताक्षर किए गए थे।","mohanty stated that the upgrade will be done soon as it has almost been finalised by the defense research and development organisation, hindustan aeronautics limited and the indian air force.",0.6799999999999999
मैनेजर ने डांस किया।,"In case the manager danced , the artist saw the scientists .",0.45
बैंकर ने न्यायाधीशों को भुगतान किया।,The banker paid .,0.66
पिनाल काउंटी शेरिफ रोजर वेंडरपूल ने कहा कि एक वैन में तस्करों ने अन्य तस्करों और अवैध अप्रवासियों को ले जा रही एक पिकअप और एसयूवी का पीछा किया।,"People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants, said Pinal County Sheriff Roger Vanderpool.",0.6334
एक महिला एक आदमी को खाना खिला रही है।,A woman is mixing meat.,0.2
प्रबंधक ने वकीलों पर विश्वास किया।,"The manager believed the lawyers , and the actors recognized the tourist .",0.62
पुस्तकालय में उपस्थित चिकित्सक।,The artists thanked the doctors presented in the library .,0.59
वैज्ञानिक ने न्यायाधीशों को बुलाया।,The scientist called the judges near the president .,0.79
एक महिला लहसुन काट रही है।,A woman is slicing a big pepper.,0.44
एथलीट ने बैंकर और डॉक्टरों को प्रोत्साहित किया।,The athlete encouraged the doctors .,0.68
छात्रों ने सलाद खाया।,The students ate .,0.66
लेखक के सामने कलाकार ने वैज्ञानिक को धन्यवाद दिया।,The author thanked the artist .,0.29
छात्रों ने इंतजार किया।,"The banker admired the artists , or the students waited .",0.5
राष्ट्रपति ने वकीलों को बुलाया।,The scientist who mentioned the president called the lawyers .,0.31
अभिनेताओं का मानना ​​था कि कलाकार ने एथलीट का उल्लेख किया है।,The actors believed the artist .,0.37
डॉक्टर ने वैज्ञानिकों को सलाह दी।,The professors supported the scientists that the doctor advised .,0.65
थाई जनता ने बैंकाक विरोध को दबाने के लिए सुरक्षा बल जुटाया,Thai junta security forces stay in barracks as protests dwindle,0.36
एक महिला आलू छील रही है।,A woman is slicing a tomato.,0.2666
अस्पतालों और रेड क्रॉस ने कल रक्तदाताओं से अपील की।,The Connecticut Hospital Association joined the Red Cross Monday in calling for more blood donors.,0.75
एक महिला नहा रही है।,A man is riding a white horse.,0.0
"जजों ने जिस एथलीट का समर्थन किया, उसने डॉक्टर का परिचय कराया।",The athlete introduced the doctor .,0.79
वकील ने अभिनेताओं का समर्थन किया।,"Unless the authors slept , the lawyer supported the actors .",0.42
प्रबंधकों ने पर्यटक को रोका।,The managers near the professor stopped the tourist .,0.79
प्रबंधकों ने पर्यटकों के पास कलाकारों की मदद की।,The managers helped the artists .,0.79
दो कुत्ते घास के बीच से भाग रहे हैं।,Three dogs run in the snow.,0.44
जज ने कॉलम लिखा।,The judge wrote .,0.66
फ़िलिस्तीनी क़ैदी रामल्लाह के मुक़ाता पहुंचे,Pakistani prisoner assaulted in Jammu jail,0.2
कई राज्यों और संघीय सरकार ने बाद में समान या अधिक सख्त प्रतिबंध पारित किए।,"Following California's lead, several states and the federal government passed similar or tougher bans.",0.8
कलाकारों ने राष्ट्रपति की प्रशंसा की।,"The judge encouraged the manager , or the artists admired the president .",0.5
चीनी सरकार ने हाल के वर्षों में चीन की प्रसार-विरोधी क्षमता को मजबूत किया है।,the chinese government has strictly censored china's chemical imports and exports according to the law in recent years.,0.2
पेरू में डीपीआरके का जन्मदिन मनाया जाएगा,Curiosity Rover Celebrates 1 Year on Mars,0.08
कलाकारों ने बैंकरों को पहचान लिया।,The bankers were recognized by the artists .,1.0
जानवर पानी में खेल रहे हैं।,Two men are playing ping pong.,0.0
मंगलवार को अमरीकी डालर के मुकाबले चीन युआन 6.1184 तक मजबूत हुआ,China yuan weakens to 6.1510 against USD,0.36
सचिव के बगल वाले छात्र ने पर्यटक से संपर्क किया।,The student contacted the tourist .,0.79
एक महिला एक बड़े चाकू से एक प्याज को पतला-पतला काटती है।,A woman is slicing onions with a large knife.,0.8400000000000001
लेखकों ने सीनेटरों से संपर्क किया।,The banker and the authors contacted the senators .,0.73
"भूमध्य सागर में समुद्र में 3,400 से अधिक प्रवासियों को बचाया गया","Over 2,000 migrants rescued from wooden boats in Mediterranean",0.6
डॉक्टरों ने सचिवों की प्रशंसा की।,The doctors admired the secretaries who supported the athletes .,0.77
कलाकार ने अभिनेताओं को रोक दिया।,The actors stopped the artist .,0.29
एथलीटों की प्रशंसा करने वाले वकील ने पर्यटक को धन्यवाद दिया।,The lawyer thanked the tourist .,0.79
लेकिन क्या आप वाकई मानते हैं कि उन पानी में एक हिमखंड था?,I absolutely do believe there was an iceberg in those waters.,0.6
प्रबंधकों ने प्रोफेसरों को देखा।,The bankers next to the professors saw the managers .,0.29
"पैसा निकालने का सबसे अच्छा तरीका लॉबी से छुटकारा पाना है, यह सब।",Best way to turn it on its head is to get money out.,0.6
एक महिला बाथटब में नहा रही है।,A woman is taking a bath.,0.8800000000000001
राष्ट्रपति ने अभिनेताओं से संपर्क किया।,The actors and the president contacted the secretaries .,0.29
बैंकर ने नाटक लिखा।,The banker wrote .,0.66
"हालांकि पर्यटक पहुंचे, डॉक्टर ने इस्तीफा दे दिया।",The tourist arrived .,0.61
सचिव और सीनेटरों ने प्रबंधक की मदद की।,The secretary helped the senators .,0.29
एक आदमी गिटार बजा रहा है।,A man tries to read the paper.,0.16
राष्ट्रपतियों ने बैंकरों का उल्लेख किया।,Young presidents mentioned the bankers .,0.78
धागा शुरू करने के लिए धन्यवाद कैंडी।,Candy - Thanks for starting us off today.,0.96
"इससे पहले कि लेखक छात्रों पर विश्वास करते, बैंकर सचिव से बचते रहे।",The authors believed the students .,0.61
चुनाव से पहले पूर्वी सीरिया में भारी संघर्ष,Heavy fighting rocks eastern Syria - residents,0.76
प्रबंधकों को बुलाने वाले कलाकारों ने सीनेटरों को सलाह दी।,The managers advised the senators .,0.31
पर्यटक ने छात्र को रोक लिया।,The actors forgot that the tourist stopped the student .,0.55
कोई टमाटर के वेजेज के कटोरे में जैतून का तेल डाल देता है।,The man poured oil on the tomato slices.,0.75
"कद्रोव घायल नहीं हुआ था, लेकिन मारे गए लोगों में उसके चार अंगरक्षक थे।",But Itar-Tass news agency said four of his bodyguards were among those killed by the bomb.,0.6
डॉक्टरों ने छात्रों का समर्थन किया।,The students supported the banker who helped the doctors .,0.29
गंभीर वकीलों ने बैंकरों की प्रशंसा की।,Lawyers admired the bankers .,0.78
एक महिला ने तेजी से पिस्टल से फायर कर दिया।,A woman is shooting off a gun.,0.8800000000000001
एक व्यक्ति चावल हिला रहा है।,A woman is cracking an egg.,0.2
इंडियाना में मिट रोमनी ने रिपब्लिकन प्राइमरी में जीत हासिल की,Romney wins Florida Republican primary,0.32
"जब लेखकों ने सचिव को रोका, तो अभिनेता ने डॉक्टर को पहचान लिया।",The authors stopped the secretary .,0.45
एंजेला मर्केल जर्मन चुनावों में संकीर्ण जीत की ओर अग्रसर,Malawi's new president sworn in after disputed elections,0.08
आदमी ने प्याज काटने के लिए हेलिकॉप्टर का इस्तेमाल किया।,The man used a machine to chop up a potatoe.,0.4
कलाकार पहुंचे।,Helpful artists arrived .,0.78
न्यायाधीश द्वारा सीनेटर की प्रशंसा की गई।,The senator admired the judge .,0.3
कलाकारों ने सुना कि सीनेटरों ने प्रबंधकों को रोक दिया।,The artists heard the senators .,0.37
"""मुझे लगा कि अगर मैं रोज़ी से बहुत ज़्यादा असहमत हुई तो मेरी नौकरी चली जाएगी,"" उसने कहा।","Cavender did say: ""I felt that if I disagreed with Rosie too much I would lose my job.""",0.65
छात्र अध्यक्ष से बचते रहे।,The athletes behind the students avoided the president .,0.26
वकीलों ने अभिनेता के बगल में प्रोफेसरों का समर्थन किया।,The lawyers supported the professors .,0.79
खिलाड़ियों ने डॉक्टरों का आभार जताया।,Important athletes thanked the doctors .,0.78
नाराज बैंकरों ने अभिनेताओं से परहेज किया।,Bankers avoided the actors .,0.78
ट्रिब्यूनल ने बताया कि PSNI ने RUC अधिकारियों को विफल कर दिया,13:23 PSNI 'failed RUC officer families',0.8
जज सो गया।,The secretary who saw the judge slept .,0.31
छोटा लड़का एक कुर्सी से दूसरी कुर्सी पर कूदता है।,A young boy jumping from one chair to another in his house,0.96
अभिनेताओं के पीछे पर्यटक ने प्रोफेसर को धन्यवाद दिया।,The tourist thanked the professor .,0.79
एक आदमी ट्रेन के सामने खड़ा है।,A man stands on a platform in front of a silver train.,0.76
अतिरिक्त व्यक्ति और संस्थाएं एक संपत्ति फ्रीज के अधीन हैं।,the resolution includes a broadened list of individuals and entities subject to an assets freeze.,0.76
एथलीटों का उल्लेख करने वाले अभिनेताओं ने न्यायाधीश की सिफारिश की।,The athletes recommended the judge .,0.31
ओरेकल कॉर्प के चेयरमैन और सीईओ लैरी एलिसन ने प्रतिद्वंद्वी पीपुलसॉफ्ट इंक का अधिग्रहण करने के लिए कंपनी की अवांछित पेशकश को मीठा बनाने से इंकार नहीं किया।,Oracle chairman Larry Ellison has hinted that the company could yet again increase its offer for rival PeopleSoft.,0.8800000000000001
मैनेजर द्वारा बैंकर ने जजों को पहचान लिया।,The manager recognized the judges .,0.26
ईरानियों ने राष्ट्रपति चुनाव में मतदान किया,Keita Wins Mali Presidential Election,0.08
लोगों के साथ खेलती दो लड़कियां और उनके पीछे फूल।,Two young girls wearing skirts are playing in a garden.,0.64
प्रोफेसरों के सामने वकीलों ने डॉक्टरों को रोक लिया।,The lawyers stopped the doctors .,0.79
"जबकि सीनेटर सो रहे थे, सचिव ने एथलीटों का उल्लेख किया।",The secretary mentioned the athletes .,0.78
अभिनेताओं ने आइसक्रीम खाई।,The actors ate .,0.66
पर्यटक ने राष्ट्रपतियों का समर्थन किया।,"The tourist supported the presidents , or the scientists slept .",0.5
क्योंकि जज ने भुगतान किया लेखक आ गया।,The judge paid the author .,0.23
"टेक-हैवी नैस्डैक कंपोजिट इंडेक्स 55.93 की दो दिवसीय जीत के बाद 3.99 या 0.2 प्रतिशत गिरकर 1,682.72 पर आ गया।","The technology-laced Nasdaq Composite Index .IXIC eased 8.52 points, or 0.51 percent, to 1,670.21.",0.3
बैंकरों का समर्थन करने वाले लेखक पहुंचे।,The bankers arrived .,0.31
पर्यटक ने न्यायाधीश से संपर्क किया।,"After the tourist contacted the judge , the lawyer avoided the presidents .",0.61
लहर पर सर्फ़बोर्ड की सवारी करता हुआ आदमी।,A man in black on a surfboard riding a wave.,0.8
रेडियो: इसराइल ने फ़िलिस्तीनी क़ैदियों की रिहाई बढ़ाने की तैयारी की,US: Israel to delay Palestinian prisoner release,0.32
"हालांकि कलाकार ने अध्ययन किया, सचिव ने प्रबंधक से संपर्क किया।",The artist studied the secretary .,0.23
कथित सिपाही हत्यारे की मौत सिर में गोली लगने से हुई,Alleged cop killer died from gunshot,0.8400000000000001
दोनों आर्मस्ट्रांग काउंटी जेल में बंद हैं।,Tatar was being held without bail in Armstrong County Prison today.,0.5
माना जाता है कि अभिनेताओं ने लेखकों को बुलाया।,The actors called the authors .,0.53
"श्री अलीबेक ने कहा: ""हमारे परिणाम बहुत उत्साहजनक हैं।","""Our outcomes are very encouraging,"" George Mason researcher Ken Alibek said.",0.76
शिकागो में 'जिहाद' कार बम की साजिश में अमेरिकी किशोर गिरफ्तार,Chicago teen arrested in Chicago car bomb plot,0.6799999999999999
न्यायाधीशों ने सचिवों को रोक दिया।,Although the judges stopped the secretaries admired the artists .,0.23
एक आदमी नाच रहा है।,A rat is running.,0.0
"मिस्टर प्रोडी को जोड़ा: ""हो सकता है, लेकिन बुढ़ापा हमें अपनी ताकत और अपनी कमजोरी को समझने में मदद करता है।""","""Maybe, but the old age helps us to understand our strength and our weakness and the reality of the world.",0.64
राष्ट्रपतियों ने डॉक्टर का उल्लेख किया।,The doctor that the scientist admired mentioned the presidents .,0.29
नीले रंग की शर्ट में एक बुजुर्ग आदमी कैनवास कला का एक टुकड़ा पकड़े हुए है।,A black man is walking next to a building in a big city.,0.0
निसान स्टीयर-बाय-वायर कारों की बिक्री करेगी,Nissan to offer steer-by-wire systems in some Infiniti cars,0.8
तुर्की दंगा पुलिस आंसू गैस तकसीम स्क्वायर विरोध,Turkish riot police enter Taksim Square,0.6
वैज्ञानिक ने अभिनेता का समर्थन किया।,The lawyer advised the actor who the scientist supported .,0.65
आदमी ने बर्तन में शोरबा में सब्जियां डाल दीं।,A man is adding sliced vegetables to a cooking bowl with water.,0.6799999999999999
एक महिला गाजर काट रही है।,A man is slicing a tomato.,0.24
वकीलों ने प्रबंधकों की प्रशंसा की।,The lawyers admired the managers .,1.0
एक बिल्ली दूध पी रही है।,A kitten is drinking milk.,0.8
वित्तीय शेयरों में लाभ यूरोपीय इक्विटी को धक्का देता है,British Christians take complaints to European court,0.0
Mailblocks की स्थापना Microsoft द्वारा $425 मिलियन में WebTV के अधिग्रहण के पांच साल बाद की गई थी।,WebTV was sold to Microsoft in 1997 for $425 million and today is called MSN TV.,0.5599999999999999
बैंकर ने क्षेत्र छोड़ दिया।,The banker left .,0.66
मिस्र ने नए अंतरिम नेता की शपथ ली,Egypt army cracks down on Brotherhood,0.12
अध्यक्षों ने प्रबंधक को सलाह दी।,Probably the presidents advised the manager .,0.53
"जब तक डॉक्टरों ने एथलीट का परिचय नहीं कराया, प्रोफेसर ने सचिव को रोक दिया।",The doctors introduced the athlete .,0.45
"ग्लोवर ने कहा कि हत्यारे ने लिगेचर पर ""अजीबोगरीब स्लिपनॉट"" का इस्तेमाल किया, जिसका इस्तेमाल उसने कुछ पीड़ितों का गला घोंटने के लिए किया।","Glover said the killer used a ``peculiar slipknot,'' including a coaxial cable and an extension cord, to strangle some of the victims.",0.6799999999999999
काली वर्दी पहने मोटरसाइकिल पर सवार एक व्यक्ति।,A white motorcycle is being ridden around a race track.,0.2799999999999999
जज पहुंचे।,"Since the professor shouted , the judge arrived .",0.78
मैनेजर दौड़ा।,"The manager ran , and the student slept .",0.62
माना जाता है कि लेखक प्रोफेसरों पर विश्वास करते थे।,The authors believed the professors .,0.53
एक आदमी एक पेड़ पर चाकू फेंक रहा है।,A man is showing magic.,0.35
पहली जुलाई हांगकांग के चीनी शासन में वापसी की छठी वर्षगांठ है।,The rally overshadowed ceremonies marking the sixth anniversary of Hong Kong's return to China on 1 July 1997.,0.5334
उम्मीद है कि डॉक्टर ने सीनेटरों को देखा होगा।,The doctor saw the senators .,0.53
डॉक्टरों ने प्रोफेसर को धन्यवाद दिया।,The doctors in front of the tourists thanked the professor .,0.79
जज ने जिस बैंकर को देखा उसने एथलीटों की सिफारिश की।,The banker recommended the athletes .,0.79
प्रोफेसर ने डॉक्टरों से संपर्क किया।,"The professor contacted the doctors , and the bankers thanked the student .",0.62
वकील सो गए।,"If the artist advised the managers , the lawyers slept .",0.42
कलाकार ने न्यायाधीशों पर विश्वास किया।,The artist believed the judges advised the secretary .,0.37
सीनेटरों ने पर्यटकों को सलाह दी।,"In case the senators advised the tourists , the judge arrived .",0.45
USD के मुकाबले चीन युआन 6.1059 तक कमजोर हुआ,China yuan strengthens to 6.1070 against USD Friday,0.32
डॉक्टरों ने सोचा कि बैंकर चिल्लाया।,The banker shouted .,0.43
यह युद्ध तैनाती नहीं है।,its not an official deployment.,0.48
